,de_price,fr_price,flow_fr_to_de,flow_de_to_fr,fr_nuclear,fr_solar_forecast,fr_wind_forecast,fr_load,de_load,de_wind,de_solar,temp_paris,temp_berlin,ttf_close,ttf_change
2022-01-08 03:00:00+00:00,160.0,160.0,0.0,1640.363,45244.0,0.0,6330.68,57850.0,48265.177500000005,14945.592499999999,0.0,2.2,0.6,88.17400360107422,-8.327995300292983
2022-01-08 04:00:00+00:00,154.3,154.3,0.0,1440.118,44951.0,0.0,6114.21,58200.0,48467.2975,14912.7075,0.0,2.0,0.3,88.17400360107422,-8.327995300292983
2022-01-08 05:00:00+00:00,166.0,166.0,0.0,1464.2395,45265.0,0.0,5898.48,59900.0,49229.0075,15143.59,0.0,2.2,0.3,88.17400360107422,-8.327995300292983
2022-01-08 06:00:00+00:00,182.91,182.91,0.0,1472.1805,45195.0,0.0,5682.94,62700.0,52271.395,15582.7875,0.0,3.3,0.0,88.17400360107422,-8.327995300292983
2022-01-08 07:00:00+00:00,215.89,215.89,0.0,1540.4805,45242.0,0.0,6493.6,65550.0,55812.875,16197.0525,171.39,3.8,-0.6,88.17400360107422,-8.327995300292983
2022-01-08 08:00:00+00:00,231.0,231.0,0.0,1109.3955,45412.0,221.37,7303.88,67850.0,58811.1025,16710.3975,1452.2625,4.2,-0.2,88.17400360107422,-8.327995300292983
2022-01-08 09:00:00+00:00,228.95,228.95,0.0,1128.0475,45359.0,1161.24,8113.53,68900.0,60852.74,17245.77,3347.185,5.8,0.7,88.17400360107422,-8.327995300292983
2022-01-08 10:00:00+00:00,215.39,215.39,0.2375,453.225,45350.0,2107.69,9903.96,68850.0,62056.3825,18312.1525,4903.3775,7.6,1.5,88.17400360107422,-8.327995300292983
2022-01-08 11:00:00+00:00,206.68,206.68,0.0025,637.2395,45275.0,2669.88,11695.1,69550.0,61655.91,19753.425,5522.555,7.4,2.3,88.17400360107422,-8.327995300292983
2022-01-08 12:00:00+00:00,185.0,185.0,57.1625,452.8585,45181.0,2768.83,13486.11,69500.0,60229.61,21227.57,4983.045,7.6,2.0,88.17400360107422,-8.327995300292983
2022-01-08 13:00:00+00:00,169.52,169.52,209.8375,320.169,45311.0,2408.99,14071.96,66600.0,59288.8775,22583.64,3628.965,7.9,2.7,88.17400360107422,-8.327995300292983
2022-01-08 14:00:00+00:00,162.8,162.8,489.715,165.611,45279.0,1741.87,14656.96,63450.0,58893.66,24016.190000000002,1602.8174999999999,8.1,2.5,88.17400360107422,-8.327995300292983
2022-01-08 15:00:00+00:00,161.34,161.73,573.5675,200.75,45514.0,744.13,15239.23,62150.0,60092.277500000004,26130.3375,159.9925,8.1,0.9,88.17400360107422,-8.327995300292983
2022-01-08 16:00:00+00:00,189.9,189.9,603.156,29.142,46004.0,56.68,15325.67,63350.0,62172.7525,28577.6325,0.0,8.1,-0.1,88.17400360107422,-8.327995300292983
2022-01-08 17:00:00+00:00,170.71,189.16,462.8875,208.095,46680.0,0.0,15408.38,66950.0,62553.14,30822.685,0.0,8.2,-0.1,88.17400360107422,-8.327995300292983
2022-01-08 18:00:00+00:00,140.23,185.53,466.3475,319.646,46781.0,0.0,15490.09,68350.0,60965.159999999996,32759.510000000002,0.0,8.2,-0.3,88.17400360107422,-8.327995300292983
2022-01-08 19:00:00+00:00,102.54,159.47,642.25,144.874,46634.0,0.0,15280.02,65700.0,58068.6875,34217.65,0.0,9.0,-0.8,88.17400360107422,-8.327995300292983
2022-01-08 20:00:00+00:00,102.18,126.09,802.64,59.759,46435.0,0.0,15067.64,62450.0,56255.3425,35119.5375,0.0,8.1,-0.9,88.17400360107422,-8.327995300292983
2022-01-08 21:00:00+00:00,102.29,123.73,764.27,93.939,46213.0,0.0,14860.17,61450.0,55798.192500000005,35280.770000000004,0.0,7.1,-1.1,88.17400360107422,-8.327995300292983
2022-01-08 22:00:00+00:00,90.05,147.94,576.09,308.899,45650.0,0.0,14377.92,64650.0,53591.1725,35224.28,0.0,6.1,-1.5,88.17400360107422,-8.327995300292983
2022-01-08 23:00:00+00:00,85.03,109.18,914.7335,18.924,44879.0,0.0,14185.56,61450.0,50373.3425,35010.6325,0.0,6.2,-1.6,88.17400360107422,-8.327995300292983
2022-01-09 00:00:00+00:00,84.4,89.61,1247.933,0.0,43971.0,0.0,14084.17,58850.0,47993.8,33962.865000000005,0.0,5.7,-0.8,88.17400360107422,-8.327995300292983
